company_name,sector
CHG Healthcare,Healthcare
CTS International,Professional Services
CallMD,Healthcare
Camaco,Manufacturing
Cambium Learning Group,Education
Camin Cargo Control,Energy/Mining
Campspot,Technology
Capgemini,Professional Services
Capsa Healthcare,Healthcare
Carbon,Manufacturing
Cardinal Financial Company,Finance
Carewell Urgent Care,Healthcare
Carey Glass,Manufacturing
Caring com,Healthcare
Carroll Hospital Center,Healthcare
Casumo,Technology
CatalystOne Solutions,Technology
Caterpillar,Manufacturing
Centric Brands,Retail
Champion Window,Construction
Chargebee,Technology
Charles River Community Health,Healthcare
Chartwell Retirement Residences,Healthcare
Chevron,Energy/Mining
Children%E2%80%99s Home Society of Florida,Nonprofit
China Mobile International,Telecommunications
ChoiceOne,Finance
Chong Seng Consultants,Professional Services
ChowNow,Technology
Chubb,Finance
Cielo,Professional Services
Citi,Finance
Citrin Cooperman,Professional Services
City Furniture,Retail
City Kids School LA,Education
City of Greeley,Government
Citydog Club,Hospitality
Clari,Technology
Clarion Events,Marketing
Clean Harbors,Energy/Mining
Club Tattoo,Hospitality
Cludo,Technology
Cohen and Company,Professional Services
Coles,Retail
Collabera,Technology
Collibra,Technology
Commonwealth Bank of Australia,Finance
Commonwealth Corporation,Government
Commonwealth Credit Union,Finance
Community Brands,Technology
Compugen Canada,Technology
Computer Upgrade King,Retail
ConAm Group of Companies,Real Estate
Conifer Health Solutions,Healthcare
ConocoPhillips,Energy/Mining
Consulate Health Care,Healthcare
Continental Battery Systems,Manufacturing
Cosmic Strands,Technology
Costain,Construction
Coulter Partners,Professional Services
Covanta,Energy/Mining
CoverMyMeds,Healthcare
Cox Communications,Telecommunications
Crest Data Systems,Technology
Cross Check Quality Inspection,Professional Services
Crossover Health,Healthcare
Curvature,Technology
Custom Ecology,Energy/Mining
Cybereason,Technology
D2L,Technology
DAWSON,Professional Services
DRT Strategies,Professional Services
DXC Technology,Technology
DataPath,Technology
DeGolyer and MacNaughton,Energy/Mining
Deck Commerce,Technology
Delaware North,Hospitality
Delivery Hero,Retail
Delvinia,Technology
Dental Whale,Healthcare
Department for Work And Pensions,Government
Deployed Resources,Professional Services
Devbridge,Technology
Devsu,Technology
Dia and Co,Retail
Digital Factory,Technology
Digital Media Services,Marketing
Digital Surgeons,Marketing
Dimensions International College,Education
Diverse Lynx,Technology
Dominium,Real Estate
Dot Foods Inc,Manufacturing
Dovenmuehle Mortgage,Finance
EBG,Professional Services
EDF,Energy/Mining
ERIKS group,Manufacturing
Early Start Australia,Healthcare
Eir,Telecommunications
EirGrid,Energy/Mining
Elastic,Technology
Elastic Path,Technology
Elderwood,Healthcare
Elevance Health,Healthcare
Elevate Care,Healthcare
Eli Lilly and Company,Healthcare
Ellsworth,Manufacturing
Emily Hirsh,Marketing
Endurance,Technology
Eni Spa,Energy/Mining
Entrepreneurs Organization,Nonprofit
Epson Europe,Manufacturing
Erickson Senior Living,Healthcare
European Commission,Government
EventMobi,Technology
Everly Health,Healthcare
Exactech FL,Healthcare
Extended Stay America,Hospitality
Extreme Reach,Marketing
FCCI Insurance Group,Finance
FIDM,Education
FORMS SURFACES,Manufacturing
FREENOW,Transportation
FaceGym,Retail
Fahlgren Mortine,Marketing
Fashion Retail Academy,Education
Fast Enterprises,Technology
FedEx Ground,Transportation
Federal Reserve Bank of Kansas City,Finance
First Service Credit Union,Finance
Fishbowl Solutions,Technology
Fisher Investments,Finance
Florida Blue,Finance
Flow Traders,Finance
Flytxt,Technology
Foo Kon Tan,Professional Services
Ford Motor Company,Manufacturing
Fort Bend ISD,Education
Foster Partners,Construction
Foundation Academies,Education
Freetrade,Finance
Fresenius Medical Care North America,Healthcare
Frontier,Telecommunications
Fruition,Marketing
Fuel Medical,Healthcare
GDS Group,Marketing
GE,Manufacturing
GLL,Hospitality
GameStop,Retail
Gartner Studios Inc,Manufacturing
Geeks,Technology
General Motors (GM),Manufacturing
Gentherm,Manufacturing
Geometric Results,Professional Services
Gertex,Manufacturing
Getir,Retail
Gibson Homewares,Manufacturing
Global Dimensions,Professional Services
Global Savings Group,Marketing
GlobalData,Technology
Globe Life Family Heritage Division,Finance
Goodway Group,Marketing
Google,Technology
Granite School District,Education
Grass Valley,Manufacturing
Great Minds,Education
Gregory FCA,Marketing
Greystar,Real Estate
Guaranteed Rate Affinity,Finance
Guerrero Media,Marketing
HDFC Bank,Finance
HFI,Manufacturing
HHM,Hospitality
HORNE LLP,Professional Services
HSBC,Finance
HSN,Retail
Hactl,Transportation
Haleon,Healthcare
Hallmark Aviation Services,Transportation
Halodoc,Healthcare
Hammer,Construction
Hantz Financial Services,Finance
Hardesty and Hanover,Construction
Harte Hanks,Marketing
HashiCorp,Technology
Hawkins Cookers Limited,Manufacturing
Helcim,Finance
Helm360,Technology
Hitachi,Manufacturing
HomeLight,Real Estate
Homepoint,Finance
Honda,Manufacturing
Hydro Cleansing,Professional Services
ICAP Group,Finance
IESA,Professional Services
IHS Markit,Technology
IMD International Institute for Management Development,Education
Iberdrola,Energy/Mining
Ilmor Engineering,Manufacturing
Imminent,Technology
Imperial Brands,Manufacturing
Incture Technologies,Technology
Information Security Media Group,Marketing
Ingham Retirement Group,Healthcare
Ingram Content Group,Manufacturing
Ink,Marketing
Innovaccer,Healthcare
Innovapptive,Technology
Instrument Pro,Retail
Integrated Health Information Systems,Healthcare
Integrated Healthcare Staffing,Healthcare
Integrity Express Logistics,Transportation
Intellipaat,Education
International Committee of the Red Cross,Nonprofit
Intertek,Professional Services
Intesa Sanpaolo,Finance
Irdeto,Technology
Itaú Unibanco (Itaú BBA e Rede),Finance
JFQ Lending,Finance
JM Wilson,Finance
JPMorgan Chase & Co,Finance
Jack Cooper Transport,Transportation
Jackson Dawson,Marketing
Jackson Health System,Healthcare
James Hardie Building Products,Manufacturing
Janicki Industries,Manufacturing
JenaValve Technology,Healthcare
Johnson & Johnson,Healthcare
JumpCrew,Marketing
Jushi,Healthcare
KGP,Technology
KPIT Technologies,Technology
Kimberly-Clark,Manufacturing
Kipsu,Technology
Koalafi,Finance
Kum and Go,Retail
LAMPS PLUS,Retail
LEARFIELD,Marketing
LMI Aerospace,Manufacturing
LTIMindtree,Technology
LUSH North America,Retail
Layer Germany,Technology
Legacy FA,Finance
Lemonlight,Marketing
Leo TechnoSoft,Technology
Lexington Law,Legal
Liberty Coca Cola Beverages,Manufacturing
Lifetime Financial Growth,Finance
Lincare,Healthcare
LivSmart Authorized ADT Dealer,Technology
Living Spaces,Retail
Loan Simple,Finance
LoanSnap,Finance
Lotus Interworks,Technology
Low Income Housing Institute,Nonprofit
Lytics,Technology
M247,Telecommunications
MAP Health Management,Healthcare
MAQUET,Healthcare
MOM s Organic Market,Retail
MUFG,Finance
Mailchimp,Technology
Malvi Systems,Technology
MangoApps,Technology
Manhattan Associates,Technology
Manhattan Neighborhood Network,Media
Maples Group,Professional Services
Mark Spain Real Estate,Real Estate
Market America,Retail
Market of Choice,Retail
Martyn Bassett Associates,Professional Services
Maryville,Education
Masonite International,Manufacturing
Master Distributors,Manufacturing
Mastercard,Finance
Maxim Healthcare Services,Healthcare
McAfee,Technology
McDonald's,Hospitality
McGraw Hill,Education
Media Markt,Retail
Medical College of Wisconsin,Healthcare
Medical Solutions,Healthcare
Medline Industries,Healthcare
Meeting Tomorrow,Professional Services
Merck,Healthcare
Mercury Filmworks,Media
Metro Systems VA,Technology
Michael Bailey Associates,Professional Services
Microsoft,Technology
Miro,Technology
Miromatrix Medical,Healthcare
Mission Foods,Manufacturing
Mission Health,Healthcare
Missouri State Auditor s Office,Government
Mitsui & Co.,Energy/Mining
Mobiquity,Technology
Mode5,Technology
Moon Technolabs,Technology
Morgan Stanley,Finance
Motion Recruitment,Professional Services
Munck Wilson Mandala,Legal
Muscle Food,Retail
Musiker Discovery Programs,Education
NAB - National Australia Bank,Finance
NCS,Technology
NFU Mutual,Finance
NQC,Technology
National Arts Council,Government
National Federation of Independent Business,Nonprofit
Nations Lending Services,Finance
Neilson Financial Services,Finance
Neiman Marcus,Retail
Neo Derm,Healthcare
Neo Media World,Marketing
Nestlé,Manufacturing
Net Square Solutions,Technology
New American Funding,Finance
New Look,Retail
Newland Chase,Professional Services
Newsy,Media
Nissha Medical Technologies,Healthcare
Noah Medical,Healthcare
Nolan Transportation Group,Transportation
Nordia,Professional Services
Northland Physical Medicine,Healthcare
Northwest Administrators,Professional Services
Novacoast,Technology
Novartis,Healthcare
Nurtur,Healthcare
OLIVER Agency,Marketing
Oaks Integrated Care,Healthcare
Obviously AI,Technology
Ogletree Deakins Nash Smoak and Stewart P C,Legal
Olin,Manufacturing
Oman Air,Transportation
Oodle Car Finance,Finance
Openweb Solutions,Technology
Optanix,Technology
Option Care Health,Healthcare
Optus,Telecommunications
Oracle,Technology
Outreach,Technology
PAN Communications,Marketing
PARC Retirement Living,Healthcare
PSA Airlines,Transportation
Pabst,Manufacturing
PagerDuty,Technology
Palantir Technologies,Technology
Palladium,Professional Services
Paper Excellence Group,Manufacturing
Parexel,Healthcare
Pathward,Finance
PatientPoint,Healthcare
Peaden,Construction
Pelmorex Corp,Media
Peninsula Community Health WA,Healthcare
PeopleSearch,Technology
PepsiCo,Manufacturing
PetSmart,Retail
Petronas,Energy/Mining
Pfizer,Healthcare
Phenomenex,Healthcare
Philadelphia Cricket Club,Hospitality
Phillip Securities,Finance
Piedmont Urgent Care by WellStreet,Healthcare
Planned,Marketing
Prada USA,Retail
Praytell Strategy,Marketing
Precision Diagnostics,Healthcare
Preferred Primary Care Physicians,Healthcare
Procter & Gamble,Manufacturing
Professional Sports Publications,Media
Proziod,Technology
PuroClean,Professional Services
Pursuit,Hospitality
Pursuit Collection,Hospitality
Qualcomm,Manufacturing
Quantic Lab,Technology
QuisLex,Professional Services
R Systems,Technology
RBC,Finance
REEF Technology,Hospitality
REI,Retail
REX,Retail
RICS,Professional Services
RTX,Manufacturing
RainFocus,Technology
Ramsey Solutions,Media
RapidDeploy,Technology
Razer,Manufacturing
ReCept Pharmacy,Healthcare
Rectangle Health,Healthcare
Recurrent Ventures,Media
Red Meters,Manufacturing
Red Raider Outfitter,Retail
RedEye Apps,Technology
ReliaQuest,Technology
Reliance Industries,Energy/Mining
Remington College,Education
Restaurant365,Technology
Revere Health,Healthcare
Ricoh UK,Manufacturing
Rio Tinto,Energy/Mining
RiskOptics,Technology
Rogue Fitness,Manufacturing
Rothman Institute,Healthcare
Ruby Tuesday,Hospitality
SAS,Technology
SCB Group,Finance
SECURUS Technologies,Technology
SG Digital,Technology
Salem Health,Healthcare
Samsung Electronics,Manufacturing
Samsung Electronics America,Manufacturing
Samsung Research America,Technology
San Joaquin Valley College,Education
Santander,Finance
Saudi Aramco,Energy/Mining
Save A Lot Food Stores,Retail
Savers,Retail
Schneider Electric,Manufacturing
Scoop News Group,Media
Scotiabank,Finance
Screwfix,Retail
SearchLab,Marketing
SeatGeek,Technology
Securitas,Professional Services
SelectQuote,Finance
Selecta,Retail
Sensata Technologies,Manufacturing
Sequoia Living,Healthcare
ShipBob,Transportation
Shoe Show,Retail
Siemens,Manufacturing
Signant Health,Healthcare
SilkRoad Technology,Technology
Sleep Number Corporation,Retail
Slice,Technology
SmartConnect Technologies,Technology
Smile Direct Club,Healthcare
Sony,Manufacturing
SouthLight,Healthcare
Southwest Airlines,Transportation
Specsavers,Healthcare
Splunk,Technology
StackPath,Technology
Stalwart Concepts,Hospitality
Stanford Health Care,Healthcare
Starting Point Behavioral Healthcare,Healthcare
Stellantis,Manufacturing
StepChange Debt Charity,Nonprofit
Sumitomo Mitsui Financial Group,Finance
Summit Psychological Associates,Healthcare
Sundae,Real Estate
Sunrun,Energy/Mining
Swvl,Transportation
Syntellis Performance Solutions,Healthcare
TD,Finance
TEAM LEWIS,Marketing
TOC Logistics International,Transportation
Tabcorp,Hospitality
TandemLaunch,Technology
Tangoe,Technology
Tax Law Office of David W Klasing,Legal
Taylor Corporation,Manufacturing
Taylor and Francis Group,Media
Teachers Federal Credit Union,Finance
Tech USA,Professional Services
TechSci Research,Professional Services
Tecnova India,Professional Services
Tee Yih Jia Group,Manufacturing
Teleperformance,Professional Services
Tencent,Technology
Tesla,Manufacturing
Thales,Manufacturing
The Bonadio Group,Professional Services
The Cigna Group,Healthcare
The Coca-Cola Company,Manufacturing
The Conference Board of Canada,Nonprofit
The Denver Center for the Performing Arts,Nonprofit
The Megahair Family,Retail
The Menta Group,Education
The One Technologies,Technology
The Plum Guide,Hospitality
The Real Deal Inc,Media
The Run Club,Hospitality
The Siegfried Group,Professional Services
The World Bank,Government
ThomasArts,Marketing
Tilden Preparatory,Education
TimeZoneOne,Marketing
Torres Multicultural Communications,Marketing
Tradeshift,Technology
Transact Campus,Technology
Transfinder,Technology
Tripadvisor,Technology
Trulioo,Technology
Turbocam International,Manufacturing
Twinkl Educational Publishing,Education
Two s Company,Retail
U S Engineering,Construction
U.S. Bank,Finance
UBS,Finance
UL Solutions,Professional Services
UPMC,Healthcare
UPS,Transportation
UPS Supply Chain Solutions,Transportation
US Department of Energy,Government
US Pavement Service,Construction
USAA,Finance
USHEALTH Group,Finance
Uber,Transportation
Unilever,Manufacturing
UnitedAg,Agriculture
UnitedHealth Group,Healthcare
Universally Speaking,Professional Services
UpLift CA,Nonprofit
VF,Manufacturing
VFS Global,Professional Services
VMLY and R,Marketing
VNL,Technology
Valencia College,Education
ValueFirst Digital Media,Technology
Varo Bank,Finance
Verbling,Education
Verified First,Technology
Verizon,Telecommunications
Versalus Health,Healthcare
Verzeo,Education
Viagogo,Technology
Visa Inc.,Finance
Vision Solar,Energy/Mining
Vitalant,Healthcare
Vitasave,Retail
Vitera Healthcare Solutions,Healthcare
Viz ai,Healthcare
Vizrt,Technology
Vodafone,Telecommunications
W B Mason,Retail
WGM Engineering,Construction
WIT Software,Technology
WPG,Manufacturing
Walkover Web Solutions,Technology
Walmart,Retail
Walt Disney Company,Media
Warburg Pincus,Finance
Washington County Minnesota,Government
Washington State Bar Association,Nonprofit
We Insure,Finance
WellRight,Healthcare
Wells Fargo,Finance
Westchester Medical Center,Healthcare
Whittier Street Health Center,Healthcare
Williams Lea,Professional Services
Willson Jones Carter and Baxley,Legal
Wolin Design Group,Construction
Wonder Works Studio,Media
WorkBoard,Technology
World Resources Institute,Nonprofit
Wynshop,Technology
XLN,Telecommunications
Xebia,Technology
Xellia Pharmaceuticals,Healthcare
YASH Technologies,Technology
YPrime,Healthcare
Yakima Valley Farm Workers Clinic,Healthcare
Yotpo,Technology
YouTrip,Finance
Your Housing Group,Real Estate
ZOLL Medical,Healthcare
Zenyum,Healthcare
Ziehler Lawn Care,Professional Services
Zurich Insurance,Finance
beBit,Marketing
bp,Energy/Mining
collect Artificial Intelligence,Technology
eBacon,Technology
easyHotel Ltd,Hospitality
iMobile,Retail
payever,Technology
smartData Enterprises,Technology
upGrad,Education
Dot Foods Inc., Manufacturing
